LOA,Name,10 - AIRPLANE,101 - FIRE POLE,110 - FOREIGN OBJECT,140 - GALLOPING CONDUCTOR,170 - PERSONNEL,190 - BRANCH COMPANY,20 - ANIMAL,210 - TREE FELL - NATURALLY,211 - TREE FELL - STORM,220 - TREE GROW - NATURALLY,230 - UNKNOWN,250 - VANDALISM,262 - CAR HITS POLE,291 - WEATHER,30 - ANTENNA,310 - LIGHTNING,320 - SNOW,340 - TORNADO,360 - UG PRIMARY DIG IN,361 - UG PRIMARY FAULT,362 - UG PRIMARY TERMINATION,363 - UG SECONDARY DIG IN,364 - UG SECONDARY FAULTED,365 - UG SECONDARY TERMINATION,50 - CONTAMINATION,60 - CRANE IN CONDUCTOR,75 - CUSTOMER OWNED CONDUCTOR,76 - CUSTOMER OWNED SECONDARY SHORT,80 - CONDUCTORS,81 - STATIC DOWN,82 - LINE ARRESTER,83 - JUMPER OPEN,84 - LINE INSULATOR,85 - LINE SWITCH,86 - LINE TRANSFORMER,87 - POLE DAMAGE,88 - LINE FUSE,89 - LINE REGULATOR / CAPACITOR,90 - SUBSTATION TRANSFORMER,900 - LOAD MANAGEMENT,91 - SUBSTATION BREAKER,92 - SUBSTATION REGULATOR,93 - SUBSTATION ARRESTER,94 - SUBSTATION FUSE,95 - SUBSTATION SWITCH,96 - SUBSTATION INSULATOR,97 - SUBSTATION BUS,98 - SUBSTATION RELAY,NO CAUSE
100,Monticello,0,7,7,5,0,0,122,46,39,36,58,2,23,25,0,124,0,0,1,7,7,2,5,0,5,0,0,0,23,0,2,58,4,1,20,5,27,1,0,0,0,0,0,0,0,0,0,0,2
50,Valparaiso,13,24,16,22,7,4,303,132,175,80,104,2,76,29,0,106,6,0,5,116,4,4,15,3,6,1,0,0,121,1,10,80,3,6,38,26,51,1,2,0,0,0,0,0,0,0,0,0,1
30,Crown Point,5,51,11,4,3,9,214,45,80,68,134,1,62,67,0,250,0,1,5,65,6,7,39,3,24,3,0,0,246,0,14,54,15,2,58,18,41,2,4,0,0,0,0,0,0,0,0,0,1
70,Plymouth,0,11,6,16,1,2,117,51,83,9,40,3,44,31,0,85,3,0,0,3,5,1,4,0,4,2,0,0,72,0,6,27,3,6,10,5,35,1,3,1,1,3,0,0,0,0,0,22,0
110,Goshen,21,30,6,42,9,2,319,138,126,52,125,6,169,92,7,153,3,1,6,49,20,4,26,3,2,5,0,0,152,0,28,85,7,3,52,47,65,2,4,0,5,0,0,0,21,1,0,1,0
150,Gary,4,23,22,6,35,40,375,228,396,321,221,121,72,59,0,148,0,0,8,46,15,1,19,1,8,1,1,0,320,1,16,225,17,4,67,37,91,0,1,0,1,0,2,0,0,0,3,1,3
10,Hammond,1,35,33,33,27,29,328,103,139,167,133,22,44,89,0,83,4,1,3,180,11,4,27,0,9,2,0,1,131,4,19,129,14,6,38,30,49,0,6,0,1,0,0,0,0,0,2,0,0
160,Laporte,0,16,11,18,3,11,383,173,213,122,244,7,58,150,1,85,1,0,3,38,7,1,17,2,5,1,0,0,98,1,11,92,8,3,23,28,83,1,1,3,0,0,0,1,0,0,0,0,39
90,Angola,0,5,11,1,9,0,69,28,47,11,34,1,15,7,0,37,2,1,0,0,1,1,3,0,1,1,0,0,47,1,5,14,2,1,10,25,32,0,0,0,0,0,0,5,0,0,0,0,0
